n;RN;AVL;B-1;B-5;B-10
615;7243;12081;13890;10965;10994
616;7297;12115;13940;11000;10994
617;7282;12113;13964;11019;11021
618;7347;12174;14016;11034;11054
619;7300;12193;14051;11035;11064
620;7307;12155;14092;11086;11086
621;7364;12227;14094;11093;11113
622;7364;12288;14103;11143;11123
623;7366;12273;14139;11130;11140
624;7393;12286;14154;11149;11166
625;7379;12380;14222;11164;11183
626;7412;12339;14255;11193;11224
627;7405;12332;14231;11202;11220
628;7432;12379;14285;11207;11253
629;7442;12367;14303;11256;11274
630;7419;12421;14346;11262;11293
631;7433;12440;14336;11298;11322
632;7456;12454;14372;11298;11347
633;7468;12516;14376;11322;11360
634;7480;12470;14413;11352;11357
635;7506;12503;14406;11377;11391
636;7556;12604;14479;11370;11403
637;7512;12553;14545;11405;11446
638;7593;12621;14542;11436;11443
639;7585;12627;14622;11439;11474
640;7618;12676;14562;11454;11506
641;7612;12678;14620;11490;11532
642;7639;12693;14623;11505;11551
643;7600;12702;14594;11508;11543
644;7663;12799;14653;11540;11589
645;7676;12733;14727;11578;11615
646;7668;12777;14733;11591;11611
647;7658;12776;14741;11608;11630
648;7655;12758;14784;11614;11670
649;7718;12884;14804;11659;11676
650;7712;12895;14874;11674;11689
651;7727;12880;14889;11679;11724
652;7771;12944;14890;11708;11741
653;7719;12928;14982;11735;11766
654;7733;12914;14922;11713;11786
655;7800;13038;14969;11767;11797
656;7813;13011;15018;11797;11831
657;7831;13061;15080;11815;11826
658;7868;13072;15070;11822;11854
659;7826;13092;15106;11852;11883
660;7877;13114;15062;11854;11899
661;7875;13103;15111;11876;11910
662;7887;13138;15150;11909;11930
663;7945;13189;15186;11907;11964
664;7979;13231;15174;11949;11970
665;7892;13228;15208;11972;11985
666;7891;13187;15195;11981;11999
667;7951;13264;15234;12016;12054
668;8007;13312;15288;12034;12028
669;7983;13315;15317;12052;12067
670;8017;13333;15438;12059;12105
671;8000;13351;15407;12081;12101
672;8034;13360;15403;12110;12141
673;7984;13360;15435;12148;12164
674;8063;13455;15454;12131;12154
675;8091;13499;15449;12171;12201
676;8098;13449;15508;12202;12209
677;8075;13467;15523;12185;12237
678;8121;13529;15540;12221;12258
679;8143;13549;15537;12239;12274
680;8142;13571;15635;12258;12298
681;8127;13579;15628;12274;12301
682;8172;13612;15651;12344;12321
683;8142;13591;15699;12315;12372
684;8215;13673;15702;12323;12367
685;8194;13695;15705;12384;12400
686;8248;13702;15740;12381;12430
687;8212;13729;15751;12403;12450
688;8224;13736;15799;12443;12445
689;8276;13790;15869;12428;12465
690;8258;13714;15868;12462;12479
691;8299;13782;15935;12477;12517
692;8262;13833;15921;12494;12550
693;8293;13889;15994;12499;12558
694;8326;13907;16033;12580;12551
695;8368;13924;15968;12582;12584
696;8339;13900;16070;12579;12624
697;8402;13945;16037;12584;12667
698;8383;14039;16060;12612;12692
699;8396;13997;16090;12620;12677
700;8400;14025;16071;12664;12717
701;8457;14079;16099;12693;12730
702;8430;14060;16197;12714;12754
703;8434;14103;16201;12719;12772
704;8427;14082;16209;12746;12794
705;8461;14127;16251;12772;12802
706;8531;14204;16248;12764;12831
707;8499;14186;16363;12787;12849
708;8473;14222;16310;12809;12857
709;8502;14217;16373;12858;12891
710;8540;14249;16418;12884;12906
711;8538;14250;16393;12875;12904
712;8560;14310;16459;12908;12963
713;8610;14355;16454;12929;12951
714;8561;14362;16489;12916;12978
715;8597;14387;16539;12981;13001
716;8634;14398;16535;12973;13022
717;8606;14407;16577;13033;13050
718;8689;14454;16626;13036;13065
719;8651;14435;16639;13090;13077
720;8661;14437;16686;13099;13093
721;8646;14481;16713;13099;13128
722;8682;14537;16707;13100;13115
723;8654;14460;16757;13142;13167
724;8685;14558;16731;13174;13187
725;8721;14593;16822;13195;13196
726;8817;14654;16849;13183;13221
727;8741;14656;16804;13239;13274
728;8776;14690;16864;13233;13276
729;8798;14716;16856;13294;13298
730;8784;14681;16897;13285;13283
731;8798;14717;16936;13299;13333
732;8870;14802;16942;13315;13362
733;8807;14717;16987;13352;13331
734;8848;14796;16979;13355;13390
735;8888;14835;17050;13397;13410
736;8892;14807;17029;13426;13411
737;8848;14826;17066;13392;13438
738;8963;14900;17058;13448;13489
739;8938;14923;17137;13464;13522
740;8950;14910;17189;13499;13493
741;8971;14973;17164;13484;13531
742;8948;14963;17241;13517;13532
743;8924;14990;17236;13569;13551
744;8966;15085;17303;13595;13584
745;9003;15062;17329;13611;13622
746;9016;15069;17315;13621;13610
747;9028;15129;17346;13643;13657
748;9077;15147;17410;13631;13675
749;9095;15225;17420;13658;13691
750;9048;15125;17395;13723;13703
751;9090;15206;17481;13698;13736
752;9099;15251;17501;13747;13761
753;9118;15218;17552;13734;13766
754;9136;15300;17530;13775;13797
755;9074;15270;17590;13817;13796
756;9172;15318;17576;13834;13843
757;9186;15374;17652;13803;13840
758;9230;15352;17703;13896;13870
759;9206;15379;17639;13884;13892
760;9198;15397;17741;13947;13923
761;9184;15349;17670;13934;13952
762;9245;15421;17692;13925;13932
763;9254;15487;17807;13965;13977
764;9280;15547;17807;13993;14003
765;9276;15479;17822;14001;14010
766;9349;15582;17814;14037;14056
767;9277;15533;17915;14072;14059
768;9317;15608;17954;14101;14094
769;9365;15653;17933;14053;14085
770;9337;15609;17976;14082;14102
771;9358;15654;17994;14132;14137
772;9340;15625;17955;14136;14149
773;9349;15685;18020;14196;14186
774;9426;15738;18041;14199;14197
775;9452;15748;18069;14238;14228
776;9471;15790;18104;14211;14228
777;9425;15779;18123;14238;14285
778;9456;15825;18162;14270;14277
779;9432;15812;18194;14303;14293
780;9499;15878;18168;14343;14327
781;9500;15898;18251;14379;14336
782;9527;15904;18299;14342;14372
783;9518;15976;18271;14370;14358
784;9533;15958;18323;14409;14403
